"","score","text","level.score","level.text"
"4816", -2," why are you golfing after the shooting this is sick",Negative,NA
"4817", -1," no need  this",Negative,NA
"4818", -2," youre such a fraud disappointment",Negative,NA
"4819",  2," yes we will  we will reflect on how we got you and how to get you out of the presidency",Positive,NA
"4820",  2," i thank god u rpresidentalways praying uand family",Positive,NA
"4821",  2," why dont you just take your own advice while youre at it",Positive,NA
"4822", -2," youre sad you piece of shit",Negative,NA
"4823", -3," too bad you made it easier for mentally ill to obtain assault rifles moron ",Negative,NA
"4824", -3," you are just weird  dumptrump trumpheartattack maga fakepresident bigbaby impeachtrump loner melaniadumpstrump sad bad veryvery",Negative,NA
"4825",  1," cant backpedal now twitler theres enough video to show exactly what u said pathological",Positive,NA
"4826",  3," thank you for your awesome job in maga",Positive,NA
"4827", -2," reflect on this israel hates you and criminal bibi too ",Negative,NA
"4828", -1," the only insecure person between you and oprah is you that is evident by your daily tweets you are the worst excuse for a president",Negative,NA
"4829",  3," the real president of the united states of america ",Positive,NA
"4830",  1," in that case youre not fit to be president",Positive,NA
"4831", -5,"  of your citizens were murdered in a  senseless act of terror by another american no legislative change has been enacted except to repeal the little control the government had over gun control get off your ass turn off the tv and start being a president",Negative,NA
"4832", -1,"  youre an idiot",Negative,NA
"4833", -1," wow  insecure oprah winfrey  funny coming from a man who runs to social media whenever a public figure questions his abilities in any way so that he can toss out vicious insults and tell blatant lies that have nothing to do with facts",Negative,NA
"4834",  2," today we are celebrating real american presidents not fakenewspresident fakepresidentdonaldtrump",Positive,NA
"4835", -2," arent you ashamed of yourself for stooping to this pathetic paranoid level  get a grip  you waste our time and everyones laughing at you",Negative,NA
"4836",  2," very sad that under your leadership your justice department doesnt have the tools and resources it needs to keep us safe from threats at home and abroad do your job",Positive,NA
"4837",  1," i will honor the first  presidents but i will never honor your idiotness  you are a huge jerk an embarrassment to our nation and to the world  i cannot wait until the day you are out of that office",Positive,NA
"4838", -1,"  your impeachment will be powerfulresist persist impeach",Negative,NA
"4839",  1," what could he have done what are you going to do about it at this point youre exactly like your predecessor oh sorry big word predecessor means the one before you",Positive,NA
"4840",  0," reflect yourself",Neutral,NA
"4841",  0," yes someone had to front her",Neutral,NA
"4842",  0," reflect away ",Neutral,NA
"4843", -2," daca problem the only problem i see is that we havent deported them buildthewall",Negative,NA
"4844", -1," children are being buried  minutes from you and you choose to play golf notmypresident",Negative,NA
"4845",  5," im so greatful you are the president of the united states of america most these liberal pussys would have us broke dumb  invaded by  months into there run thank god we still have enough smart enough americans in this country to vote you in",Positive,NA
"4846", -3," shes the insecure one but youre the one tweeting about her hurting your feelings does a day go by when youre not a victim ",Negative,NA
"4847",  1," put an education security bill with the immigration bill",Positive,NA
"4848",  0," defeated by whom surly not you were onto your games with  you coward youre a disgrace youll never be welcome in society once this fully unravels might start looking for a dacha next to putin",Neutral,NA
"4849", -1," instead of tweeting about oprah i think your administration has bigger things to worry about mueller parkland",Negative,NA
"4850",  3," reflect on presidents  not precedents as potus  might confuse mis use or mis spell   that were honorable intelligent respectful and thoughtful statesmen who put their concerns for their nation and its citizens before their own personal desires",Positive,NA
"4851", -1," he was known to the fbi and your administration you want to blame classmates and neighbours gtf you muppet",Negative,NA
"4852",  1,"  we know you are describing yourself your tweets are always a projection a woman who is much more successful than yourself is not insecure a man who needs constant praise and only thinks of himself is indeed insecure worstpresidentever",Positive,NA
"4853", -1," you know who else is insecure the guy who attacks everyone else for anything he sees as threatening to himself do me a favor go eat a tide pod or two",Negative,NA
"4854",  2," she will take ur ass down trump at least she would be for the people not just her rich friends",Positive,NA
"4855",  1," youre the one that needs to reflect on your leadership and mental stability",Positive,NA
"4856",  3," you know less about nascar than i do about ballet dancing your great friends yeah right",Positive,NA
"4857",  0," youre soooo thinskinned ",Neutral,NA
"4858",  1," i suggest you all channel your dirty nra money into reform as atonement for your multitude of sins shame on you",Positive,NA
"4859",  3," lol you tell me we just do what ever fox tells us we have no original ideas ironic  in reality its todays left you are truly describing tweet away mr president im glad you are who you are the truth hurts but your not afraid of speaking it ",Positive,NA
"4860", -1," why arent you at the funerals you coward",Negative,NA
"4861",  0," oh are you reaching out to putin and letting them know who to look for when it comes to the election you will never win without their help youre the insecure loser hypocrisy losertrump worstpresidentever russianpuppet",Neutral,NA
"4862",  2," so sorry for you baby hands now its obvious you have a baby brain too go play golfyou are uselesstakeourcongressbackfromnragopgreedoverpeople",Positive,NA
"4863", -1," you are a pathetic little man  oprah exposed what does that even mean   i pray you get exposed for being the biggest fraud that you are  youre just scared of oprah because she is a powerful rich woman and she earned her money",Negative,NA
"4864",  1," you are no president so be still",Positive,NA
"4865", -3," shame the current president is shit but i suppose it gives us plenty to reflect on healthcare guns increasingdebt nationaldebt crook bent",Negative,NA
"4866",  2," maybe youll have your own monday holiday soontrump impeachment day families will get together to eat buckets of kfc and taco bowlsnotmypresidentday",Positive,NA
"4867",  0," hmmm asking us to reflect are you",Neutral,NA
"4868", -2," ignore that man behind the tweeterrest of the world no problems here",Negative,NA
"4869",  1," trump",Positive,NA
"4870",  0,"                                ",Neutral,NA
"4871",  1," go nap on the track shitmonger",Positive,NA
"4872",  1," and we all think the russian sided with you and will always believe that",Positive,NA
"4873", -1," youre at well over  lies in the past year how many lies has oprah been caught telling in the past year",Negative,NA
"4874", -1," if you had stricter gun laws this shooting would have never happened ars are not for hunting they are for killing they are powerful military grade weapons that should not be in the hands of civilians especially people who cant even legally drink",Negative,NA
"4875",  0," stfu already",Neutral,NA
"4876",  0," because republicans blocked every single obama initiative thats why",Neutral,NA
"4877",  2," enjoy your golfing only consistency from this presidency",Positive,NA
"4878",  1," will you be reflecting on anything or just tweeting bullshit all day",Positive,NA
"4879", -3," hard to believe  of americans still support and believe this fool  you forget your words live forever on the web  contradicting all your lies seems to be the flavor of the past year",Negative,NA
"4880",  0," so you stared at yourself in a a mirror huh",Neutral,NA
"4881",  1," baby hands ol no consent donny loves projecting his own failures on others again so obvious youre insecure here buddy your fear of a strong black woman is showing there babyhands olnoconsentdonny",Positive,NA
"4882", -4," you went in for oprah ohhhh hell no hell hath no fury like blacktwitter you old evil fool",Negative,NA
"4883",  0," liddle  what does putin have on you  were you a naughty boy one time in moscow or is it just your personal financial interests that are driving you",Neutral,NA
"4884",  1," youre a despicable personhow dare you continue these tiradesyou are the absolute worstwish you would just shut the hell up",Positive,NA
"4885",  0," you have no where to go but up  ",Neutral,NA
"4886", -1," projecting much oprah could mop floors w the dead animal on your head and is infinitely savvier more intelligent and wealthier that you people love oprah you are a pathetic excuse of a human being",Negative,NA
"4887",  1,"  melania hes acting up again send him to bed with no dinner or pacifier",Positive,NA
"4888", -2," insecure like the cheeto who constantly tweets about his evil enemies",Negative,NA
"4889", -1," youre an embarrassment",Negative,NA
"4890",  0,"  minutes in the school the real excuse for going to florida was your party at your club",Neutral,NA
"4891",  1," kushner should be losing his temporary security clearance this weekkellybettercleanhouse",Positive,NA
"4892", -1," apparently you believe the fbi is unable to investigate more than one crime at a time you appear to be desperate to cover up and stop this important investigation against our democracy",Negative,NA
"4893", -2," im reflecting on how awful you are  also reflecting on voting you and your cronies out of office  your focusing on your big mac and golf game",Negative,NA
"4894",  0,"  but reflective indeedqed ",Neutral,NA
"4895",  4," right like you are mr confident you thin skinned man child",Positive,NA
"4896",  2," oki will spend mine enjoying your dead last ranking even by republican scholars",Positive,NA
"4897",  1," happy presidents dayoh no not youhim ",Positive,NA
"4898",  3," oh yeah reflecting on the great and not so great ones of the past give a perspective on the diminution of the office by the current resident makeamericagroanagain",Positive,NA
"4899",  3," oh oh did oprah say something you didnt like  poor baby  wake up and smell the coffee people have experienced the real you long enough  youre done trumpfail",Positive,NA
"4900",  1," you realize youre already in custody look around you youre surrounded by the finest law enforcement officers and theyre loyalty is not to you ha",Positive,NA
"4901", -2," from the worst most corrupt traitorous president in the history of the world theresistance",Negative,NA
"4902",  5," its a great day to celebrate the real presidents of our time we appreciate your hard work trump",Positive,NA
"4903",  2," he just wants  to run so he doesnt have to be president anymore",Positive,NA
"4904", -1," too bad clinical narcissists like you are incapable of that",Negative,NA
"4905",  0," youre such a tool",Neutral,NA
"4906",  1," it is all about guns are you sure you graduated from kindergarten",Positive,NA
"4907",  1," oh well reflect all right  a time when we didnt have a complete embarrassment as our potus muelleriscoming impeachtrump",Positive,NA
"4908",  2," president trump so do we americans citizens oprah is a liar just like socialist liberal commie democrats",Positive,NA
"4909", -1," theres more than one fbi field office working on more than one investigation in this country but youre obviously too stupid to realize that foad",Negative,NA
"4910",  0," tick tock mueller is coming impeachtrump ",Neutral,NA
"4911",  0," can i reflect on how terrible you are at your job and how much i miss having a president",Neutral,NA
"4912",  3," you almost have it right they are laughing their asses off at you just you  your cronies get a clue",Positive,NA
"4913",  4," i find it extremely concerning that the president of the us has nothing better to do with his time than sit about watching tv and playing at twitter is america in such good shape theres no work to be done politically ",Positive,NA
"4914",  1," it is time to fire mcmaster kelly mattis and either wake jeff sessions up are fire him also it is time to surround your self with loyal people",Positive,NA
"4915",  0," trumps twitter meltdown was a joy to observe yesterday ",Neutral,NA
"4916",  0," yes lets all reflect on how we shouldve elected  instead",Neutral,NA
"4917",  1," we celebrate  of the  guncontolnow muellerinvestigation trumpgottogo",Positive,NA
"4918",  0," you relying on wikileaks again huh",Neutral,NA
"4919", -5," to use this horrible tragedy and make it about you is pathetic you get back to the basics of trying to be a president instead of shoving your arrogance out on stupid tweets",Negative,NA
"4920",  0," oprah is an entertainer not a politician unlike you she understands the difference",Neutral,NA
"4921",  6," thank you for all you dodoing for our country including those that are nay sayers bless you and bless our enemies no matter how close and within arms reachmay god give the usa the health wealth and happiness by the grace granted through our creator",Positive,NA
"4922", -1," here it comes the belittling name calling youre  fucking worried already just wait if joe biden decidesyou might as well walk away",Negative,NA
"4923",  2," thank you we will all be reflecting on when we had a brilliant american president obama while now we have a placeholder beholden to a foreign entity",Positive,NA
"4924", -1," you really lost it this weekend all these tweets youve outdone even yourself i suppose being kept off the golf course on account of the kids slaughtered just down the road got you all bottled up something had to blow huh rather than bitch about the fbi try the nra buddy",Negative,NA
"4925", -1," maybe your the one that is insecure",Negative,NA
"4926",  1," you have a great presidents day",Positive,NA
"4927", -1," no you are a moron hey you asked",Negative,NA
"4928", -1," i notice youre visibly shaken by the recent russianindictments you do realize mueller already has the goldenshowers video your tax  bank records russian intercepts and all the evidence he needs to strategically present his case against you no one can save you now no one",Negative,NA
"4929", -1," hes the monster of no control",Negative,NA
"4930",  1," dear mr president i am german and i just read the comments are these guys crazy  you told the truth about nato  is coming from us you ban the countries who screaming kill the us you make a tax decision which will bring a lot of money back to the us ",Positive,NA
"4931",  0,"  isnt it weird how all the great journalists work for fox strange",Neutral,NA
"4932",  3," i hope you do tooo sir because im honoring  out of  presidents today ",Positive,NA
"4933",  2,"  glad youre paying attention ",Positive,NA
"4934",  0," im pretty sure that the word insecure and oprah are never mentioned in the same sentence outside of your tweetthere is somebody that is referred to as insecure on an almost hourly basislet me thinkwho was that nowtrolltrump trolltrumpday presidentsday ",Neutral,NA
"4935",  3," we are so proud of you mr president go unwind play some golf enjoy yourself maga",Positive,NA
"4936", -1," its presidents day stupid",Negative,NA
"4937",  1," imagine if reagan bush clinton or obama attackedresponded to everyone who ever said anything about them get off twitter do your job",Positive,NA
"4938",  2," i will be celebrating the passed  presidents but not  you are not our president you are russias president elected by themhave a terrible day  you are a traitor",Positive,NA
"4939",  0," fat sexualdeviant adulterer nincompoops day is more like it",Neutral,NA
"4940", -1," you are an ass nothing new because you have always been one ",Negative,NA
"4941",  0," no   think about what youve done",Neutral,NA
"4942",  1," no discussion on how media has framed narrative disappointed group didnt bring up still hashing over leaked hearsay instead of bottom line results no sources named of polls and used as basis of talking pointsflawed debate tactics proud the group remained friendly ",Positive,NA
"4943",  0," hey quislinghappy trolltrumpday nobody deserves it more than you muellertime muellerindictments muelleriscomingforyou ",Neutral,NA
"4944",  9," thank you president washington president lincoln thank you president kennedy thank you president clinton and thank you president obama",Positive,NA
"4945", -1," excellent point sir only one way to have gun control in usa repeal nd amendment confiscate as many firearms as possible and mandate an executive order that anyone caught with firearms will be summerily executed thats what leftist want not going to happen in usa",Negative,NA
"4946",  1," will you celebrate presidents day by letting your master putin fuck you up the ass",Positive,NA
"4947", -2," you are such an insecure pathetic little man  dont go against oprah  you cant win  you arent winning now",Negative,NA
"4948",  2," happy presidents day comrade chuan jianguo",Positive,NA
"4949", -1," i thought you didnt watch tv wait was she on fox news",Negative,NA
"4950",  0," mr president please prove the naysayers about you wrong push congress to pass a ban on all assault rifles there is no reason for any america outside of soldiers to have one it wont fix all the problems but its a step in the right direction",Neutral,NA
"4951", -2," dude put down the remote and get outside to play u r watching way too much tv youll feel better and youll probably lose some of that excess weight",Negative,NA
"4952",  0," yes you had a photo op didnt you thumbs up did you visit the victims with your thumbs up to them it isnt a victory for you that you stopped in for a photo dude ",Neutral,NA
"4953",  0," this is what im reflecting on today presidentsday ",Neutral,NA
"4954",  4," happy not my president day to the worst president in us history  i will be honoring  today",Positive,NA
"4955",  2," yes we will all reflect on the days we actually had great presidents your not on of them worst president in history",Positive,NA
"4956",  0," are you still depending on kellyanne for your facts  sad",Neutral,NA
"4957",  0,"  you just get worse everyday",Neutral,NA
"4958",  0,"  wet saw how that went  ",Neutral,NA
"4959",  1," cant you just keep your mouth shut you never think before speak",Positive,NA
"4960", -3," this is my president youre an imposter you stole the election youre a liar and a thief and a traitor ",Negative,NA
"4961", -1," are you aware that there was a school shooting in fl a few days ago and  people including  kids lost their live senselessly  can you please reach out to them and the familieshave someone write you a speech that matters instead of you and your madness on tweet",Negative,NA
"4962",  1," happy presidents day to all the presidents except you you dont deserve to be congratulated i cant wait until you are behind bars you narcissist moronunfit",Positive,NA
"4963",  0," so clear you are very insecure  go have someone help you tie your shoes   go oprah take down drump",Neutral,NA
"4964",  0," u probably hired them",Neutral,NA
"4965", -1," yes  fakepresident we do remember the dossier its what makes you a serious security risk you can be blackmailed by putin",Negative,NA
"4966", -2,"  and  minutes later after this photo shop con don was living it up at some night club the utter lack of shame is gobsmacking",Negative,NA
"4967", -1," you are such an insecure man child what an embarrassment you are",Negative,NA
"4968", -1," hopefully there will be some target practice going on this presidents day and i dont mean presidents obamacarterclintonim on the fence with the bushs oh hell protect the bushs to  thats how much i hate you when i have to sink low on a tweet to protects the bushs ",Negative,NA
"4969",  0," reflect on why the younger generation wants to have a little chat with you marchforourlives",Neutral,NA
"4970",  4," dear trump you are going to get us all killed happy presidents day my hope is that you reflect on your responsibility to us",Positive,NA
"4971", -1," it was russias goal to place a candidate they could blackmail in the wh and they did just that you are a traitor and you will go down for it resist dotard notmypresident",Negative,NA
"4972",  3," and just why would the russians want trump to be pres when they could get everything they wanted from clinton and already had a damn good start on  what a joke this whole  russians arrested and lucky for the fbi they are all in russia  no extradition",Positive,NA
"4973", -1," teach anger management   anger is killing us",Negative,NA
"4974",  1," yeahyou would ask for russe for help",Positive,NA
"4975",  1," you have a very reflective presidents day a first year full of scandals is nothing to be proud and nothing that have ever happened you have a lot of reflection to do",Positive,NA
"4976",  1," my only reflection it should be  in the white house and not  ",Positive,NA
"4977",  0," just when i thought i could be more disgusted by a human being",Neutral,NA
"4978",  0," a  pound genius sitting in bed and playing with his computer this is very specific do you watch monk when they impeach you youll have more time to catch up on those box sets",Neutral,NA
"4979",  0," drain the swamp cleanse fbi and send democrats for psychological and competency evaluationssee how many pass",Neutral,NA
"4980",  1," it will be special when you are impeachedresist impeach",Positive,NA
"4981",  0," this president is the dumbest no offence",Neutral,NA
"4982",  3,"  personally id rather pay our taxes now instead of your plan to take on even more massive debtwhy pawn off our taxes on our children and grandchildren theyre the ones that are going to have to pay off the debt you create today",Positive,NA
"4983",  0,"  stop  nra",Neutral,NA
"4984", -1," ms winfrey has the same regard for your opinions as i do  none  impeach  resign  vanish",Negative,NA
"4985", -1," actually dems want tax cuts  but for those that need them not a giveaway to the rich with a miniscule cut for the masses do the opposite and then you got something",Negative,NA
"4986", -1," youre a racist a real racist you can see it all over in the way your wording  ill pray for you",Negative,NA
"4987",  6," focus man school shootings and security are more important than hypothetical candidate oprah put your president pants on and act like one",Positive,NA
"4988",  0," what is it with this whole what about what he did thing you keep doing are you five years old",Neutral,NA
"4989",-14," america is disgusted with kleptocrat plutocrat sexual predator sociopath corrupt misogynist gun mafia scum liar con artist low iq ignorant racist bigot russiapuppet nuclear holocaust monger polluter mafia climate denier trump expel trumpgop mafia",Negative,NA
"4990",  2," do they make a special strain of coke for you are your drugs more potent than the rest of ours how do you come up with this stuff",Positive,NA
"4991",  3,"  you can also thank him for informing us we can prosecute a sitting president they might come in handy",Positive,NA
"4992",  0," wow you didnt even call for her to be imprisoned nice show of restraint maybe next time you can tweet nothing at all and instead think about what youll write in your letter of resignation you miserable piece of garbage",Neutral,NA
"4993",  4," yes  hopefully you and the gopnra  will follow your advice and reflect on last weeks events what am i saying that will never happen",Positive,NA
"4994", -1," paranoid much",Negative,NA
"4995",  0," dude its not for you  its for all the presidents presidents day notice the apostrophe ask someone to read this to you",Neutral,NA
"4996", -1," please reflect on the new low you have brought to the office of president trolltrumpday donnie signing the eo making it easier for the mentally ill to buy firearms impeachresignimprison ",Negative,NA
"4997", -2," why dont you reflect on the fact that youre incompetent infantile laughable and arent worthy of sitting on the white house toilet let alone the presidents chair youll be gone soon",Negative,NA
"4998",  0," it seems like americans are already doing that dividing theselves and doing the blame game onto eachother no one will divide us but ourselves ",Neutral,NA
"4999",  1," why dont you reflect on being the worst president in the history of our nation youre going to be remembered like judas iscariot is",Positive,NA
"5000",  7," may god bless at keep you mr president so grateful to have a real patriot as president praying for you and your family",Positive,NA
"5001",  1," wish we had one",Positive,NA
"5002",  0," these are presidents ",Neutral,NA
"5003",  0," it doesnt matter what you said man youre still a hoax on this great country",Neutral,NA
"5004", -5," oprah has never been insecure you on the other hand lil donnie come across as a whiny little bitch because you are bitch you are ",Negative,NA
"5005",  1," time for some very stable geniusing",Positive,NA
"5006", -5," yeah reflect on the time we didnt have a weak treasonous shithole lying racist drama queen",Negative,NA
"5007",  2," russiansanctionsnow  but youll wont enforce themits against the wishes of your comrade vladimir putin wishes",Positive,NA
"5008",  1," happy presidentsday to everyone except hillary clinton",Positive,NA
"5009",  3," i wonder if the families of the  children murdered in florida will have a great and reflective presidents day  ithappenedonyourwatch",Positive,NA
"5010",  2," we hope this presidents day you will spend some time reflecting on what it would be like to be one unpresidentsday dick",Positive,NA
"5011", -1," why you gotta be so negative",Negative,NA
"5012",  1," i dont believe a word of this its just another distraction by the ag to keep the muller investigation going until the next election to try to take over the house and the senate",Positive,NA
"5013", -1," you werent exposed in your running",Negative,NA
"5014",  0,"                                          cia     ",Neutral,NA
"5015", -1," i will reflect on the terrible pouts  no problem",Negative,NA
"5016",  1," no a lousy candidate and shitty pres you are so full of yourself",Positive,NA
"5017",  1,"  reflecting on justice",Positive,NA
"5018", -2," at least obama could read and stay involved in a meeting longer than ten minutes trumps an idiot living in the wh he doesnt know what to do",Negative,NA
"5019",  0," are you sure you wrote this there are no missing prepositions or conjunctions spelling or punctuation mistakes also  minutes isnt on fox",Neutral,NA
"5020", -3," maybe on this day you can reflect on how the time you waste tweeting about your greatness and others shortcomings can be better used pondering our nations problems and how to fix them  start acting like a president and not a whiny little bitch  shitholepresident hypocrite",Negative,NA
"5021",  1," you are such a joke even your wife im sure she regrets marrying you",Positive,NA
"5022",  0," still reflecting read you were dropped off for golf todayobamawasbetter ",Neutral,NA
"5023", -5," the waste money used for the collusion investigation they must return to the tax payers in  by two timeswe are not only poor we aresuffering the cruelty pressure of those in power",Negative,NA
"5024",  0," consider buying this book ",Neutral,NA
"5025",  0," no those facts are facts this is how we know youre a liar you tell us things we know to be true are false you are fake news",Neutral,NA
"5026",  0," one trillion to israel  really",Neutral,NA
"5027",  3," i just wish we could go back to the greatand very reflective previous president",Positive,NA
"5028",  0," have a great but very reflective golf game",Neutral,NA
"5029", -1," hoffentlich ist in  jahren etwas besser und wenn die welt noch steht auer der  weltkrieg kommt",Negative,NA
"5030", -1," what does that mean",Negative,NA
"5031", -1," eat shit bitch",Negative,NA
"5032",  4," it would be great if sanctions were put into place to save democracy  but it would take a president to do such a thing  little donnie trump doesnt have what it takes to enforce sanctions or hes being blackmailed by putin and cant enforce sanctions",Positive,NA
"5033",  0," punkin omgyou just did thisand you call oprah insecure  publish your taxes",Neutral,NA
"5034",  0," likewise fucker presidentsday",Neutral,NA
"5035",  1," oprah has more money  than you",Positive,NA
"5036",  2,"    call a real doctor please",Positive,NA
"5037",  1," why do you try and bring everyone else down your like a bully lmao what a joke of a president have some respect for people oprah has done amazing things for people what have you done oh yeah you play golf while schools are getting shot up",Positive,NA
"5038",  0," ich hoffe dieser tag bewegt sie ber ihre politik mal nach zu denken so geht es nicht weiter",Neutral,NA
"5039",  0,"  do you see a mental illness problem here mr speaker or is it your intention to continue to enable a crazy man and watch him destroy democracy this is not how a president acts",Neutral,NA
"5040", -1," oprah insecure projection much",Negative,NA
"5041",  5," donald i voted for you  love the things youve accomplished since being in office i wish you would ignore  or grow from some of the criticism thrown at you your insecurities are making you look like a child grow from these comments  stop posting about them",Positive,NA
"5042",  0," now its personal",Neutral,NA
"5043",  1," donald do you feel tall now that youve cyber bullied oprah no wonder your wife sleeps in a different bed",Positive,NA
"5044",  5," to all you liberalsyou cant see the forest for the trees president trump is doing beyond an utterly fantastic job he is also your president show some respect rome wasnt built in a day relax and enjoy your lives instead of dwelling on your loss move on",Positive,NA
"5045",  1," the trump administration will go down in flames",Positive,NA
"5046", -1," hypocrite",Negative,NA
"5047",  0," presidents ",Neutral,NA
"5048",  2," whatever comming from trump  like elderly  ronald  old timers diease  they hid  form the american people till ronald stepped down he thought he was in a movie trumps worse he thinks hes jesus an embassy in jerusalem so  lords ship trumps  throne as king of the world",Positive,NA
"5049", -1," im reflecting that you suck",Negative,NA
"5050",  0,"  puts reflective tape on clothing",Neutral,NA
"5051",  0," you know kids died this week right",Neutral,NA
"5052",  0," cuz reflecting on things sucks am i right",Neutral,NA
"5053", -5," you are by far the most insecure individual in the history of politics you are a small petty insignificant man its why you have to crow about yourself so hard to make yourself believe it",Negative,NA
"5054",  4," trump will never win another election if the gop continue to support him neither will theythe incompetency of this entire administration has lauded the russians allowed continued constitutional abuses by an inept baffoon  put guns back into the hands of the mentally ill ",Positive,NA
"5055",  0," reflecting on what usa would be if they didnt have a fake president",Neutral,NA
"5056",  2," trump trade marked maga in  immediately after returning from russia for the mrs world pageant fyi",Positive,NA
"5057",  1," narcissistic fool if you cant be loyal to your own wife how can you expect it of anyone else",Positive,NA
"5058",  0," paranoid much why dont you do some actual work instead of watching tv not biased people hate you for good reason worstpresidentever sad",Neutral,NA
"5059",  2," she cant say anything positive about you in public  theyd tim allen her and shed lose her show  as soon as youre out of office theyll all come crawling back to be friends with the guy with money",Positive,NA
"5060",  5," there is a difference between allowing yourself to be open  vulnerable oppose to being insecure that requires strength  courage  trust which despite all your money you will never really know  someone we know what is important to you you dont get it and never will",Positive,NA
"5061",  1," same to you sir",Positive,NA
"5062",  1," your ability of introspection is zero",Positive,NA
"5063",  2," reflective is the key wordwe will all reflect on the days when we had a president",Positive,NA
"5064",  3," once again folks the potus keeping it classy no wonder the racist knuckle dragging mouth breathers worship him birds of a feather oh and since trump is such a douche im sure oprah was never friends with him who would be ",Positive,NA
"5065",  2,"  ken star worked on impeaching president clinton for lying robert mueller working on impeaching trump for lying collusion obstruction of justice and possibly treason",Positive,NA
"5066",  0," notmypresident",Neutral,NA
"5067",  1," the fbi is doing their job theyre closing in on the russians the real illegal immigrants living among us using our freedoms against us",Positive,NA
"5068",  1," thank you and you also",Positive,NA
"5069", -1," i thought you were the smartest person ever to sit in the office how about doing something to fix it instead of blaming others who are at least trying uselesspresident",Negative,NA
"5070", -1," you are truly a whimpering senile fat old man ",Negative,NA
"5071",  1," cadet bone spurshow about you reflect on the very fine peopleof the altreich ",Positive,NA
"5072",  3," i will i will reflect on presidents that acted like presidents not psychopaths by the way you are the later of the two",Positive,NA
"5073",  1," we the people cannot wait to get a real president on this presidents day",Positive,NA
"5074",  0," thank god he is out golfing and not disturbing with more drool from his troubled mind",Neutral,NA
"5075", -1," idiot ",Negative,NA
"5076",  1," are you having a reflective presidents day what conclusions are you coming too that you are not fit for office should be one of them",Positive,NA
"5077", -1," more of the sick trump junk",Negative,NA
"5078",  3," ironically the basic mission of the fbi is to preserve protect and defend the constitution  that oath doesnt mean anything to you but it means everything to them  they are making america proud every damn day",Positive,NA
"5079", -2," weve been reflecting for a year we know what we need to do you reflect on that you illegitimate shitholepresident",Negative,NA
"5080",  3," mr president you should honor yourself today with a golden shower",Positive,NA
"5081", -5," seriously your tweeting about oprah  neurotic paranoid donny crawl under you bed and cry now",Negative,NA
"5082",  0," not for you dotard  bob mueller has a few questions to ask you ",Neutral,NA
"5083",  0,"  what amazes me is no one in the intel community seemed concerned with all the lawlessness going on with iran etc instead they seemed to see a bigger threat in the trump campaign why because potus would find and expose them and they feared it",Neutral,NA
"5084", 12," happy president day president trump you are the best president in  years you have accomplished more in one year for whole us than any other president thank you mr president god is with you that why satan is working so hard against you god bless you prayers to you ",Positive,NA
"5085", -1," scholars have voted youafter only one yearas the worst president ever congratulations youre  winning  impeach resign imprison",Negative,NA
"5086",  0," happy presidents day to presidents  number  can go kick rocks",Neutral,NA
"5087", -1," have an aneurism you dopey cunt ",Negative,NA
"5088",  1," and the same to you mr president",Positive,NA
"5089",  1," thank you most of the country is smiling while we sleep because since you are in control instead of a traitor we have nothing to fear finally",Positive,NA
"5090",  6," no you were not a great candidate you divided our country  the parkland  shooter supports your ideas like maga  we know what that means now  great for you and your kind not so great for others",Positive,NA
"5091",  2," here are the facts mr president ",Positive,NA
"5092",  0," no he didnt",Neutral,NA
"5093",  2,"  are you our president your obsessed with yourself if you had even one tenth of the concern for our nation that you have for yourself youd be a great man",Positive,NA
"5094", -1," reflecting you stink",Negative,NA
"5095", -3," awww  little donnies ego been bruised by the much more popular lady actually she was only the facilitator hurts to hear everyday americans huh",Negative,NA
"5096",  0," uneducated democrats claim that  school mass shootings since january wrong not even close if this shooter didnt get a gun and just jumped in a large uhaul and ran over all these student while out on the school grounds would we be outlawing large trucks no",Neutral,NA
"5097",  1," i just read several bizarre tweets by   who was is and will always be a loser who has to  for sex and needs russia to infiltrate our political system to legitimize his presidency mueller has your huevos in hus hands and is about to squeeze em tight ",Positive,NA
"5098",  1," nice one",Positive,NA
"5099",  0," is it true that trump supporters are buying in mass quantities how to speak russian from rosetta stone",Neutral,NA
"5100", -1," we are doing just thatfactrussia attacked our country our election with cyber warfarefactpres obama expelled  rus diplomats and sanctionsfactyou took overcongress passed new sanctions against russiafactyou are refusing to enforce the new russian sanctionswhy",Negative,NA
"5101", -4,"  you are do nothing wannabe prez youre an insecure child with dementia you are an awful useless pile of garbage",Negative,NA
"5102",  3," lets take a look at fusion gps lets take a look at uranium  lets talk about the  bill clinton received for a speech in moscow dems will be sorry they ever raised any questions about russian collusion they stepped on their own dcks",Positive,NA
"5103",  2," people are also loving truth why hasnt fake news n a special council gone after clintons for their crimes of money laundering collusion crimes against humanity etc etc the people of haiti are furious they never saw the billions of dollars the clintons raised",Positive,NA
"5104",  1," west side was their soldier",Positive,NA
"5105",  0,"  maybe you should express some condol never mind youre just evil",Neutral,NA
"5106",  3," happy presidents day  and thank you  and  for being the guardians of us all we are a grateful nation ",Positive,NA
"5107",  1," those uneducated hillbillies you love so well",Positive,NA
"5108",  0," but yes yes you did you all did and we all know it",Neutral,NA
"5109",  2,"  enjoy your day mr president  ",Positive,NA
"5110",  0," happypresidentsday to   maga",Neutral,NA
