"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  5," im sure well all know the truth by the time this is over what we know for sure is flynn and kislyak has a quid pro quo deal about russia helping you get elected and you not imposing sanctions both came true russia helped and you refuse to impose sanctions passed by congress",Positive,
  3," the witness may stop talking now counsel should advise his client of th amendment rights before he ends up with a full confession on twitter the court of public opinion is advised to ignore rantings by the witness  consider only the facts which are damning by themselves ",Positive,
  1," keep pulling straws russia is responsible for impacting the  presidential election in your favor please act surprised when the mueller investigation indicts americans who took part in the collusion",Positive,
  0," here we are over a year later and you are still using your trigger words to get you through every conversation   hillary obama they dont hold any office you do take responsibility for your presidency  this isnt a tv show",Neutral,
  0," omgthou doth protest to muchoverly insistent aboutsomethingto the pointwhere the opposite is most likelytrue",Neutral,
  0," attack  condemn your nsa fbi dems attorney general obamahrc  everyone elsebut never putinnever russia gop stays silent putin laughs us suffers",Neutral,
  0," somebody needs to get the fbi rolling on it we cant let hillary obama and the rest of their cronies get away with this its criminal maga",Neutral,
  0," you lost the popular vote by  million remember that",Neutral,
  0," he didnt forget  it didnt happen just another one of your lies  perpetrated on the american people  and didnt you promise to be presidential ",Neutral,
 -2," muelleraintgoingaway  are you bigly scared always remember karma is a nasty woman theres that trumpcrimefamily lockthemallup traitortrump russianindictments fakepresident russiacollusion cadetbonespurs dumptrump winteriscoming ",Negative,
  1," theelectionwasrigged russiaspawn russiasplaybook trump",Positive,
  0,"  heres fox news for you",Neutral,
  1," he didnt forget because it did impact the election you will be out of office soon then congressional hearings on you and your cronies ethics violations  self dealing",Positive,
  2," innocent people dont act like this",Positive,
 -2,"  mcmasters is part of the gang of democrats criminal empire",Negative,
  1," is time to hold her and dws accountable for yet another a the great attacks to our national security commited by the it brothers and the data that was compromised with pakistan if we had an fbi that wasnt compromised they would have been indicted already",Positive,
 -5," then implement the sanctions then if you think there was interference  quit sounding so scared and desperate",Negative,
  0," icallbs",Neutral,
  0," so apply the senate ordered russian sanctions from last sept  freeze the oligarchs offshorefinancial assets already",Neutral,
  2," trust me the election was impacted by the russians led by putinspuppet",Positive,
  2," if anyone is dirty and crooked it is you in spite of all of your protestations that you are just as clean as the driven snow you are dirty misogynistic and you cant even be faithful to your wife after she had a baby truly disgusting",Positive,
 -2," you are a fucking child trapped in a fake reality tv presidents body ",Negative,
 -5," ur so scared sc mueller  nyag schneiderman r close obstruction rico money laundering racketeering conspiracy bannon testified   hours indictments dropping soon whos next donnie u r resign now moron dotard muellertrainrolling theresistence indivisible jailu",Negative,
  1," and mcmaster forgot to say biggest inauguration crowd ever  donthecon",Positive,
 -1," these tweets show once again how unfit you are for office",Negative,
 -2," hahaha did he donny maybe hes tired of covering for a fuckin moron",Negative,
  0," oh he didnt forget he purposely left that door open how many pictures does  vladimir have",Neutral,
  0," cant sleep more indictments coming muellertime trumptreason trumpcrimefamily putinspuppet",Neutral,
  1," you could serve yourself and the american people a heck of a lot better if you just hush",Positive,
 -1," he didnt forget he didnt say it because it isnt true factsfirst",Negative,
  0," he didnt forget to say anything he pointedly left it out because there hasnt been anything found disproving the theory fakepresident impeachment",Neutral,
  1," just hang the russian flag over the white house already",Positive,
 -1," he didnt say it because unlike you he isnt prone to lying all the time",Negative,
  2," stop trusting mcmaster he says hes your babysitter he liesboot him hes a liar when will sessions actamerica grows angry waiting america must see prosecutions  equal justice under us law but first we need a nd special investigation when will sessions act",Positive,
  0," the report was paid for in the beginning by someone in the gop trumpthetraitor",Neutral,
 -2," sorry but your info is incorrect",Negative,
 -1," youre a mess youre just throwing mud and hoping some sticks this is not the approach of one who is innocent guilty",Negative,
 -1," so afraid of what is coming you cant stop bitching about it",Negative,
 -1," liar you are showing your fear now the truth will come out the whole world will have proof of your criminal treason and will know what a fraud you are",Negative,
  1," wow throwing someone to best team bus  so trumplike loser pure loser",Positive,
  1," you sound like a vary guilty person",Positive,
 -1," the russians hacked the rnc server why do you think any republicans are nice to you theres weird porn kompromat on them from your bff putin you stole the election youre not even qualified to be labeled human much less pres of anything",Negative,
 -2," wow you are so delusional your meltdown is more spectacular than i even imagined not only are you a crook and a liar youre totally crazy",Negative,
  5," as a west point grad active army officer and protector of the constitution he must tell the truth and protect us the american people from  all enemies foreign and domestic you took an oath very much like his which you have not honored sad",Positive,
  0," emailsnothing burgeruranium onedouble nothing burger with cheesedossiergiven your propensity to screw around on your wife with porn starsi think that gives the peepee tape a bit of credibility after all you wanted to be spanked with forbesissues",Neutral,
  3," general mcmaster did not forgethe reported what the facts show that russia did ithe did not offer opinions about the trump campaign like you dothis was not addressed in the indictmentyou like to lie by connecting your lie to something truealmost cleverbut sad",Positive,
 -1," nope you know why mcmaster didnt say that because it is lies and two no one has investigated whether they have changed elections results given you have now spoken of it and are stating it didnt happeni know fully believe that it did u telegraph your lies",Negative,
 -1," no mcmasters did not forget to say that",Negative,
  1," i guess you must be consulting your crystal ball again on this",Positive,
  0," fake news  we dont know that which is why general mcmaster didnt say that    we also dont much care about hillary she lost  we are more concerned with who the russians wanted to win and why they wanted him to win",Neutral,
  0," since nobody can ever prove one way or another whether the results were impacted it would be pretty irresponsible of him to say such a thing only a fool in fact would make such an assertion",Neutral,
  0," yeah get your man he def dropped the ball",Neutral,
  3," pretty sure he didnt forget to say anything he didnt get to be general by knowing all the best words",Positive,
 -2," u r  big narcissistic dirtbag initiate the russian sanctions this part is not about umueller impeach this posjackass",Negative,
  0," i thought you said there was no collusion get your story straight grandpa",Neutral,
 -4," please check yourself into a mental institution you are sick and filled with so much anger stop being so angry derisive and get help before its too late",Negative,
 -4," sooo does this mean you are trying to oust your natl sec officer without actually saying so to his facebyebye gen mcmaster or hello sit down dig in your heels and stay awhileso predictable nobackbone",Negative,
  1," president hillary rodman clinton therightfulpresident",Positive,
 -1," the results have been tampered  trump did conspire with russia we know and proof will be exposed soon horrible specimen",Negative,
 -3," blame game has ended you lost ",Negative,
 -1," little donnie you seem a little worried this morning the walks closing in ate they the next indictments will be the good ones",Negative,
 -1," why do you keep saying the results were not impacted thats impossible for anyone to know that being said many people do believe that you owe your presidency to the russians one more reason to hate the russians",Negative,
 -1," stop putting your stupid thoughts and words into other peoples mouths  we have learned that nobody can lie like you can  you are one sick puppy ",Negative,
 -2," still trying to sell the uranium thing smdh he he someones upset this morning",Negative,
 -1," im waiting for someone to leak the pee tape",Negative,
 -1," or maybe he didnt forget to say that",Negative,
  0," maybe he forgot to mention that stuff because its not true",Neutral,
 -1," he forgot to say you are a pathetic little man who has turned our nation into a laughing stock",Negative,
  1," the russians interfered its why you won and there is plenty of collusion in the public record are you on drugs",Positive,
  1," straight out of hannity again",Positive,
 -3," mcmaster said what he said and left out what he did youre shit scared go tell kelleymelaniahopeconway or your other incompetent baby sitters to change your diaper and put you down for a fucking nap",Negative,
  1," investigation is not over sir",Positive,
  1," weve known all along even obama admitted it had no effect on results why didnt he stop them",Positive,
  2," they helped elect you",Positive,
  0," somebody really needs to teach these kids how to lose without acting out when they dont get what they want",Neutral,
 -3," whataboutisms are textbook russianpropaganda you are a treasonous disgrace resign muelleriscoming",Negative,
 -1," your concern for russian interference in our election process is underwhelming at best  what exactly does putin have on you",Negative,
 -6," blah blah blah blahgod you are boring so fucking boring",Negative,
 -3," more lies you must be panicking you know they are close",Negative,
 -1," gen mcmaster didnt forget anything he intentionally left that part out",Negative,
 -1," bc hed be lying",Negative,
 -4," most of us can read you ought to try it sometime if youre unable someone can probably break it down into syllable words  read the indictment to you maybe put it in cartoon format just like your presidency",Negative,
  0," oh noes pizzagate",Neutral,
 -2," losing sleep late night meat sweatspoor realdonaldtraitorrussiansanctionsnowrussiansanctions russiagatetrumprussia",Negative,
 -1," because no one knows if the russians made an impact it is largely unknowable youre a fcking moron moroninchief",Negative,
 -1," he didnt forget he didnt say it because he doesnt believe it",Negative,
 -1," of course the results were impacted  only a very stupid person would think otherwise",Negative,
 -3," mcmaster didnt say it cause its not true your election was impacted by russia you are an illegitimate potus you are probably guilty of a capital crime",Negative,
 -3," shut the fuck up and resign we hate you and what you stand for",Negative,
 -2," hahaha youre delusional and scared we get it that investigation is getting very close dont worry well have a great turn out for your perp walk",Negative,
 -3," you know what mcmaster forgot to say asshole he forgot to say why am i destroying my reputation and my mental health by enabling that lying old asshole",Negative,
  0," you are caught and you know itthetargetisgettingbuggy",Neutral,
  2," youre in love with  arent you  you cant keep her or  names out of your mouth im not an hrc fan but ive always told my kids if your jealous it shows hey donnie  youre turning green with jealousy that they are liked better than you are",Positive,
  1," we remember the day the story broke about your letter of intent to build a tower in russia",Positive,
  0," how can you be sure the results were not impacted you cant this undermines the legitimacy of your election sorry dude",Neutral,
  2," nobody said it because nobody believes ityoure terrified of the next revelation in this line of inquiry and its exposing you for your weakness",Positive,
  0," he didnt forget he just told the truth bobby is coming agent orange heat the footsteps getting louder",Neutral,
 -2," mueller is closing in on you comrade and boy are you losing your shit",Negative,
 -2," now your just making things up worst do nothing president in history lazy stupid  fat is no way to go through life fake president",Negative,
  2," im sure he appreciates you clarifying that for him either way you choose to see it russia meddled in our democracy and you wont inact the sanctions you refuse to defend  our country why  putin is pulling your strings and has you by your debts",Positive,
  1," he didnt forget to say anythingyou just extend the lies but bending what people say and putting words in their mouth   mueller still working money laundering russians are talking to muellermidterms coming",Positive,
  1," yes and please dont remember all the real shit ive been doing ok sobirth certificate jfk pizzagate beige suitwe good",Positive,
  0," ok hc was one of  people to approve uranium one and that was already investigated and  votes or so and you dont think the election was swayed in normally blue states i call bs",Neutral,
  2," you are truly the dumbest motherfuckers alive",Positive,
  0," i know you are but what am i isnt a legal defense if youre not afraid of being caught out why are you working so hard to discredit the investigation",Neutral,
 -1," get rid of mcmaster he is a joke its the one really bad move youve made and its time to correct that wrong do it do it now",Negative,
 -1," why so shrill because the investigation is still going",Negative,
 -1," keep digging moron",Negative,
 -3," man your rambling makes you look weak and crazy",Negative,
  2," you are sucking big time  keep on throwing poo just like a monkey in the zoo gawd and to think you are officially potus",Positive,
 -3," i smell despiration anger and fear donnie shhhhhhhminipotusminitrue miniplenty minipax miniluv ingsoc thegreatdestroyer",Negative,
 -2," did he forget to say that or did he not say it because thats fake news",Negative,
  0," resignnow ",Neutral,
  0," were he to say anything hed say that remains undetermined at this point  fortunately the muellerinvestigation is continuing and expanding   obstructionofjustice moneylaundering resignnow",Neutral,
  1," listen im a mom divorced im sick of all the bullies out there  for the love of god let our president do his job  notice he swims well against the flow of all the negativity",Positive,
  1," ummhe didnt forget to say those things dear leader and beacon of thought  he simply chose not to lie",Positive,
 -1," hes not worried about you",Negative,
  1," the  eating their ownthats how cannibals survive",Positive,
  0," sir i think you may go to prison and it scares you",Neutral,
 -2," donnie you are a fucking moron",Negative,
  0," unlike you mcmaster actually reads the briefings and knows much more than you do on this topic  shut the eff up",Neutral,
 -1," yes  there it is   blaming hillary  i would think and most people agree that the russians impacting the election was due to agents using social media to spread lies misconceptions and extreme bias   that doesnt sound like something you know anything about  does it",Negative,
  1," we dont know that yet mr mueller is still investigating more to come i believe mueller knows all and your ex cohorts are singing like birds",Positive,
 -1," get over yourself start caring about our country or resign",Negative,
 -3," sir can you for at least one day stop everytime your mouth opens shit and lies come falling out thats all",Negative,
 -1," there are parents in florida burying their children and again you are making this all about yourself we need leadership",Negative,
 -1," how did he forget all that",Negative,
 -2," of course he forgot to say it because if he did it would be another fucking lie coming out of the trump camp go back to fantasizing about your daughter you disgusting pervert",Negative,
  0,"  you wont be able to tweet from prison dotard",Neutral,
  0," you seem especially nervous creamsicle someone knocking at your door ",Neutral,
  2," would u give it up crooked h please shes just as crooked as you are stop blaming everyone else and man up and take responsibility thats what a president does you may have the name but you are so far from being and acting like one",Positive,
  0," theyre coming to get you donald",Neutral,
  0," flailing desperate don",Neutral,
 -1," bwahaha  what the hell did your parents do to you ",Negative,
  0," collusion with a capital c seems right",Neutral,
 -2," this is hysterical donnie keep it coming collusion isnt the crimetreason is",Negative,
 -3," what a delusional madman pathetic",Negative,
  0," he didnt forget to say it hes just not a lying pos like you",Neutral,
  1," oh but it was u who speak with a forked tongueillegitimate president",Positive,
  0," when will you direct your anger away from the americans you are supposed to represent and focus it on russia im thinking never because putin has dirt on you",Neutral,
 -2," scared i see you should be yourefired asshole",Negative,
  3," youre right dopey don for once hr forgot to mention that hillary got  million more votes  even though russians aided and abetted your campaignnotmypresident",Positive,
 -3," people are locked in in hating trump cant work with it their social game they win so tired of it we need to see people lose their pensions and get jail",Negative,
  0," someone is losing his sht live on twitter",Neutral,
 -2," you are really struggling here  its coming to an end and you do feel it your comments tell more than lies ",Negative,
 -1," dear god youre a scared little boy arent you",Negative,
 -1," damn youre scared right now arent you how many diapers have you gone through since thursday",Negative,
 -1," lol  always back to hillary when the rat is cornered",Negative,
 -1," youre sad and theyre closing in",Negative,
 -1," insane",Negative,
 -2," you are the most insecure loser i have ever witnessed",Negative,
  0," you are demented  accept that  get help and sod off",Neutral,
 -2," stop whining like a little bitch",Negative,
  0," hopefully your lies  clear stupidity prove terminal",Neutral,
  0," i think the psychiatrists would call this florid",Neutral,
  0," deflect a lot of the dossier has been verified youre trying really hard to take the focus off your investigation why dont you want steven bannon to talk to congress remember there was no collusion and where are the sanctions",Neutral,
  1," oh i dont think he forgoti think he said just what was on his mind",Positive,
  0," you sound absolutely desperate",Neutral,
 -1," run bitchilymueller has your ass in a slingna na na hey hey goodbye",Negative,
 -1," what we really wont forget how you told us time and time again you had no business ties or financial ties to russiayou do remember dontu",Negative,
  0," riiiight he forgot hahahahahaha",Neutral,
  0," get them",Neutral,
  6," general mcmaster doesnt seem like a forgetting kind of man  could be he like the rest of us know your claims are utter bull  please resign you are not capable of doing this job",Positive,
  0," and the mueller treason train just keeps rolling on now about those sanctions",Neutral,
  5," what general mcmaster forgot to say was he wouldnt have accepted a job from a dodge drafting coward unless it was to protect and continue serving the country he loves",Positive,
 -1," the russians didnt spend multi million dollars in vain trying to get you elected of course their efforts impacted the election its common sense",Negative,
  4," can you do all of us a favor and have that interview with mueller already youll feel better after screaming into his face for three hours and well feel better with the unindicted coconspirator document dump win win",Positive,
  2," general mcmaster has too much honor to say that because its not true he knows exactly what hes looking at",Positive,
  3," please stay in your own lane  if you are innocent as you say just do your job  you are very worried about all the russian stuffmakes me wonder",Positive,
 -1," he didnt forget he just didnt lie for you",Negative,
  2," well time for you to fire up sessions or trump him",Positive,
 -1," you just threw gen mcmaster under your filty nasty bus you are a disgusting human being",Negative,
  3," hillary and russia the dnc and dems got together the collude to elect you as president or does this make sense  donny you sound like everyones crazy grandpa amd not the fun crazy one",Positive,
  1," i dont think he forgot to say it  i think you wanted to say that youre purely nuts ",Positive,
 -2," or intentionally didnt say because its not true liar liar ",Negative,
  4," your doing a great  job as president  dont let the naysayers that create confusion keep you distracted america is becoming great again thanks  to the trump train  choo choo",Positive,
  0," always about yourself",Neutral,
 -1," ha nice try traitor putins puppet narcissistic pos shitholepresident trumprussiacoverup muelleriscoming",Negative,
  0," you are so done dotard",Neutral,
  0," remember the p p tape",Neutral,
 -5," your own words condemn you it is irrelevant if there was collusion or not if you were a true american believer in democracy you would resign and rerun the elections in honour to your name and the nationremaining in office validates russian meddling in destroying clinton",Negative,
 -1," you are a very sick sad man even worse you are our president",Negative,
 -1," douchebag",Negative,
  0," hillary is not president your suppose to be arent you you always trying to throw hillary under the bus your son was the one trying to get dirt on hillary so you could win yall are the crooked ones you needed help to win a reality tv",Neutral,
 -1," you are pathetic turd stupidestpresidentever",Negative,
  0," your crimes are your crimes and you should pay for all of them  the crimes of others that you fantasize do not give you a mulligan on yours  heres to your future in prison",Neutral,
 -1," how many lines did you do last night youre such a disgrace",Negative,
 -1," we dont care shut up and do something about gun control",Negative,
  0," come on slug the russians got you elected  even mcmaster knows that ",Neutral,
  0," if he forgot to say anything it was mr president you are under arrest",Neutral,
  3," think about staying in dc and doing your job part of which is caring for your family you might actually feel better",Positive,
  1," sounds like a mea culpa to me",Positive,
  0," you do realize youre embarrassing yourself right ",Neutral,
 -1," dinky donnie whats wrong with you undermining your own security hey hows melania doing after another one of your affairs was revealed to the public is she divorcing you",Negative,
  0," you know youre totally off your rocker dont you",Neutral,
  1," times running out tictoc mr president",Positive,
 -3," whining again be satisfied with what you are an orange clown bonespurred cheating pocketlining nobrained coward and now apparently a treasonous moneylaundering traitor youve got enough on your plate no need to get any fatter",Negative,
 -2," nobody should ever forget all these collusion until hillaryobamacomeymccabelocked up",Negative,
  0," forgot or didnt say it because its not true",Neutral,
  0," ur a dumbass ",Neutral,
 -3," if i yell loud enough pound my chest and fling poo maybe the bad men will go away  sorry donnie muelleriscoming",Negative,
  3,"  yes mueller will be the one to make america great again getting you out of the white house then again the alternative is just as bat shit crazy pense will be the replacement",Positive,
  1," remember how you claimed you were going to give a major speech about hillary right after the traitortot  met with the russians papadapolous has pleaded guilty to lying to the fbi about meeting with russians prepareyouranus jr has ",Positive,
 -2," i bet when you look in the mirror  your reflection talks to you it convinces you that everyone is out to get you it says they dont understand why we had to steal the election if we didnt the putin would get really mad at us really really madbluewave",Negative,
 -1," are you the dumbest piece of shit in american history  i think so",Negative,
 -1," your fckng delusional",Negative,
  3," im seriously worried about the potus whos watching him today somebody needs to get in there and take his phone away sir im being honest here im not even certain you know or understand what your saying anymore this isnt normal people this isnt normal",Positive,
 -1," putting words in the generals mouth for your base",Negative,
  0," you are insane someone near you should take your phone along with the nuclear football",Neutral,
  0," the only one trying to claim that the election wasnt impacted by a multimillion dollar russian campaign is you the election was rigged you are not the legitimate president crooked donnie twoscoops",Neutral,
  0," of course he didnt mention what didnt happen",Neutral,
 -1," remember your son and son in law committing treason remember when you took  million from the nra and you gave a thumps ups to their guns selling",Negative,
 -4," jesus this is beyond stop spreading stupid debunked conspiracy theories you lying propagandamonger and take seriously that theres another country actively right now running a massive effort to disrupt our country can we get an impeachment here",Negative,
  0," really donald",Neutral,
  1," there is really something wrong with you is it guilt distraction we will all find out the truth as all of the evidence comes out if your innocent it will come out if your guilty that will come out grow up and stop this crap it doesnt help and makes you look small",Positive,
  2," sorry mr trump hilary did not win because you and putin helped smear her campaign remember you are now president act like one sanction the russians you are so strange in how you keep taking stories and spinning them you get the award for fake news",Positive,
  0," no he didnt and it doesnt",Neutral,
 -2," we didnt forget felix sater told his fsmily he and trump are going to prison   nope surely did not forget that",Negative,
  0," no impact",Neutral,
 -1," he didnt forget you dotard",Negative,
 -2," you are just spewing nonsense because it is becoming increasingly clear that your election was fraudulent and that you are a fraud",Negative,
 -1," forgot i doubt itshutupanddoyourjob",Negative,
 -1," no he didnt its not true he still has some shame trumplies trumpisatraitor worstpresidentever",Negative,
 -3," he didnt forget you freaking moron he is as aware as any person with any semblance of intelligence that you are a russian asset guilty of treason against the usa",Negative,
  2," pretty sure the general knows what he said and what he didnt  you are drowning now",Positive,
  0," thats because none of this is true what kind of president doesnt want to protect its citizens from a foreign adversary oh i know a traitorous one",Neutral,
 -2," just shut the fuck up and implement gun reform children are dying and this is all you care about fuck you",Negative,
 -1," all you have listed has been debunked the only bad one here is you  your administration",Negative,
 -5," he did not forget to say it you fucking moron he avoided admitting you won due to russia  piss off and go to prison before your dragged there idiot",Negative,
  0," youre not being truthful the indictments speak only to the content of those indictments they are not blanket statements for future indictments we can all hear the inevitable train coming down the tracks",Neutral,
 -1," this is just the most pathetic tweet marriage crumbling indictment looming and you still cant read worth a damn",Negative,
  0," people cant remember all their lines",Neutral,
 -1," ive never seen anyone so scared",Negative,
  2," he didnt say it because it hasnt been proven either way yet why dont you read the indictments i know you dont understand get someone who does explain it to you",Positive,
 -2," not distracted by your lies  ticktock",Negative,
 -1," you are really running scared now  i cant wait for the finale of your show where you get fired and it appears that might be coming very soontrumpregime trumprussiaputinpuppet",Negative,
  0," he didnt say it because it isnt true wanker",Neutral,
 -4," you r so pathetic and extremely desperate tic tock ti tock muelleriscoming for you jr kushner etc you are hiding a lot russianindictments worstpresidentever nrabloodmoney taxscambill stormyaffair traitorrussiansanctionsnow nomilitaryparade fascist",Negative,
  0," we didnt forget you told lestorholt you fired comey because of therusher trump russia thing",Neutral,
 -1," your downfall is going to be painful and glorious im overly excited to see you get crushed",Negative,
 -2," you are so fucking scummy still talking about the emailssketchypresident",Negative,
 -2," you are trying to deflect because you have the blood of the children killed in florida you deflecting wont work",Negative,
  0," he forgot or it is not true really trump you make so much shit up you sound crazy oh yes thats right you are crazy",Neutral,
  1," right you still lost the popular vote",Positive,
  2," are you aware you sound like a middle schooler every single day",Positive,
  3," rep garamendi trump has taken no action to protect country from russia",Positive,
  0," how was your studio  style party at mara lago",Neutral,
  0," we are all going to remember how youre killing our economy the environment our most vulnerable citizens etcthe clintons are just private citizens now with no influence on anything",Neutral,
  0," get off my lawn",Neutral,
  2," your panic is so delicious with my morning pot of tea  thank you so much for you most entertaining bouts of public insanity",Positive,
  0," so paranoidwhy",Neutral,
  2," hey dumbasses there is no russian collusion from trump campaign  trump is our president get over it cry babies i cant believe you idiots dont see how trump is making america great again",Positive,
  1," no he didnt he said what really happened he got it right ",Positive,
  0," no one is going to pay you for speeches when youre done dont worry",Neutral,
 -2," you are insane they are closing in on you bitch",Negative,
  1," he didnt foreget to say it  nobody forgot to say it  it just isnt time to say it",Positive,
  1," all evidence points otherwise funny the same russians you met with b the election met at trump tower not all the american people are ignorant",Positive,
  3," we remember the emails between you and your kids working to hide felix sater status about soho building nor forgot jr released emails bmsm",Positive,
  1," enough of your stupid remarks you should be doing a better job in all issueschildren are getting shot at school in this country",Positive,
  0," hey tangerine troglodyte you are so bought and paid for by russia lots of bloviating and not one word about holding putin accountable so sad",Neutral,
 -2," as ugly as a pig caught in the corner",Negative,
  0," if as you say it was clinton  russia then why was all of the ads for you",Neutral,
 -3," um pretty sure he stuck to what the indictment did say and did not spew alex joness infotainment conspiracy theory drivel",Negative,
  1," you are so stupid bless your heart",Positive,
  4," yes and now we will lock you up for spreading lies to help russia to help win hillary never met with russians but you and your people did thats why only people who worked with you and russia are being indicted not one of hillarys people have beenwhy ",Positive,
 -2," so you claim no collusion with your campaign when there is proof but still claim collusion by hilary when there is no proof  hmmmm",Negative,
 -1," enough internet for you today you must be exhausted with stupidity",Negative,
 -1," everyone look look at the date  he did start in  more lies ",Negative,
  0," you tweeting in your th grade level communication skills while sitting on the toilet eating another big mac",Neutral,
 -2," your losing it  too bad there is little support for mental health in our country",Negative,
  2," learn that silence is golden dont blow this small positive judicial step",Positive,
 -2," you are so grasping as straws  the desperation is showing trumprussia followthemoney youregoingdown muelleriscoming",Negative,
  0," why should he you do it for him",Neutral,
  0," i know you havent read shakespeare but you are going to have a lot of time to do that",Neutral,
 -1," not obvious to you but your dirty ties to russia have nothing to do with hillary you can scrawl hillary all over your jail cell walls ",Negative,
  0," must be because it isnt true",Neutral,
  2," where is attorney general sessions   obamaspygate noamnesty nodaca maga",Positive,
 -4," you are really going blame h and the dems for your bad behavior  you really need to be a man and grow up your lies are done just give it up lying cheating to get in office man",Negative,
  0," can you hear yourself  how is this honorable to those  killed   you sound scared",Neutral,
 -1," uh the results of the  election were impacted and changed by the russians remember your people met with them and several of your people are under indictment you and your admin in way over your heads anyway donald everyone can see that",Negative,
  0," its the deepstate that tried to influence the elections  ",Neutral,
 -4," so full of shit i need my damn hip boots on a daily basis to wade through all of your crap and lies",Negative,
 -1," liberalism is destroying america it should be as easy to see as the bias we are hearing about at the fbi leadership maga",Negative,
  1," he didnt forget maybe hes not able to lie like the rest of you they did all involved allowed it to happen",Positive,
 -1," he cannot forget what isnt true but you wouldnt understand that",Negative,
  0," everyone knows your guilty and the time to pay the piper is near",Neutral,
 -9," the  is openly lying to the american people and despite the damning charges of these indictments still refuses to condemn russian interference he is attacking his own nsa chief  the previous one is a little busy this man is guilty there is no other explanation",Negative,
  2," prediction this tweet will not age well  muellertime muellerinvestigation muellerindictments russia    ",Positive,
  0," oh my you couldnt go to sleep without being wrong again no one ever came to that conclusion you are an illigitimate president",Neutral,
 -1," scared arent ya blaming hillary is you gaslightind again",Negative,
  1," this is what full panic looks like",Positive,
  0," wtf are you talking about youre tweets sound panicked",Neutral,
 -1," can we please get rid of mcmoron  how can you not see he is not on your team if he didnt realize by coming out with that statement at that time was undermining the fact that not you or anyone of your staff knowingly colluded w russia he is unqualified to hold hos position",Negative,
  1," we didnt forget you trademarked maga in  carter page going to russia in  and russians beginning thier goal of trump assets",Positive,
  0," wow desperate",Neutral,
 -1," remember putin getting you elected putins puppet youre not legit fake president",Negative,
  3," nothing will ever happen this is just a school play ive finally realized ",Positive,
  1," you are simply flailing here even your own people see the real story along with us im surprised your lawyer has t warned you to shut up from now on  but he doesnt appear to be one of your best people",Positive,
 -1," hrc  dems  dnc colluded with russia so that russia would support you and fracture dem vote plus those deep state republican fbi agents would also undermine hrc  all to get you elected and then later come at youor you  your team were in contact with russians you knew",Negative,
 -3," he didnt forget youre guilty as sin resign or be indicted your choice",Negative,
  0," he didnt forget he just doesnt lie as well as you",Neutral,
  4," oh ya he forgot to say that lol why did you order him to say that does the general public know if you order a serviceman to lie that they have to or could be court marshaled kind of like your doctor lying about your weight and healthy brain  resignnow maga",Positive,
 -3," if there was proof the results were impacted it would undermine our election system and the government doesnt want to go down that road",Negative,
  0," someone sure seems worried",Neutral,
 -2,"  people lost their lives and this is the bullshit tweet you are focused on  smallmindpresident",Negative,
  0," tick tock tick tock",Neutral,
  1," pretty sure he didnt forget to say it he chose not to say it there is a difference",Positive,
  3," but they were impacted yes the bears ears uranium deposits the other has been debunked i thought you watched foxbut the one in utah that hatch lee stewart you and others are trying to pull at bears ears  grand staircase well that will be a real uranium scam  ",Positive,
 -1," he also forgot to say youre a freakin moron",Negative,
  0," he did not forget they were impacted he knows the truth",Neutral,
  0," donalddonalddonald panic is not a good look for you",Neutral,
  2," you are a  traitor to the united states of america and that will be in all the history books forever and ever until eternity you needed an enemy of the us to help you win  how pathetic does that make you",Positive,
  5,"  you dont know there was no impact we will find out soon enough who was working with them and whoever they are will pay dearly",Positive,
  1," no he didnt he told the truth and you cant stand it",Positive,
 -1," that evidence could be yet to come and you still havent said what youll do to stop future attacks on on elections",Negative,
  4," i wish i could hug you for saying that you have courage and i love you for that",Positive,
  1," it looks like liddle donny trumptard is having another hissy fit someone please go get him a couple buckets of kfc and a few big macs also a case of diet coke its early and donny needs some comfort maybe he needs a spanky from stormy",Positive,
  2," um when are you going to announce that your administration will be taking aggressive action to ferret out this kind of interference in   its not about you and your ego its about our democracy  lead for once",Positive,
  1," i dont think he forgot to say it  you are in office because of putin and the massive attract honour election  he knew you were a danger to our democracy and wanted you to help him distroy us  this statement is pathetic",Positive,
 -1," russia attacked us when are you going to do something its not about you quit making everything about you",Negative,
  1," testify under oath with mueller if you have nothing to hide whatistrumphiding",Positive,
 -2," so so desperate  theres no twitter privileges in prison so guess you better get your fill traitor",Negative,
 -2," how are you seriously this dumb to think that people believe this trash that flows out of you like a river astounds me",Negative,
  2," right back to your collection of greatest hits",Positive,
 -2," i dont know how you live with yourself youre seriously mentally ill youre incapable of governing",Negative,
  1," mcmaster is a smart guy he said exactly what he wanted russianpuppet",Positive,
  0," he didnt forget he was trying to provide facts i know you dont know what that is you should look it up",Neutral,
  1," when are you going to finally admit the truth everyone with a ounce of brain matter knows you are lying fakepresident",Positive,
 -1," sending thoughts and prayers that todays big mac is the one that gives you a stroke",Negative,
 -1," oh i didnt know that jr manafort and kushner were working for hillarys ream and still you refuse to impose sanctions on russia  what does aputin have on you",Negative,
 -1," yikes this is really sad real time mental break",Negative,
  0," eat shit",Neutral,
  1," your tweets are immensely entertaining because theyre so transparent  the latest round of indictments dont clear you of anything and you have nothing that proves any of this  keep trying to divert  you look pathetic and embarrassing to your country",Positive,
